Nom,Adresse,Code postal,Ville,Latitude,Longitude,EMail (pour annuaire),Téléphone professionnel (pour annuaire),Url,Page facebook  (pour annuaire),Domaine d'activité Principal (une seule activité)  (pour annuaire),Description de l'activité de l'entreprise (pour annuaire),Défi (pour annuaire),Bureau de change,
Pur etc - Malraux,11 Presqu'île Malraux,67100,Strasbourg,48.574089,7.761746,contact@pur-etc.fr,06 22 00 13 52,www.pur-etc.fr/strasbourg/,https://www.facebook.com/puretc/?fref=ts,16,"Un fast Good !&nbsp;A tout moment de la journ&eacute;e, ils proposent des produits cuisin&eacute;s maison autour de fruits et l&eacute;gumes de saison, et font de la qualit&eacute; et de la proximit&eacute; des mati&egrave;res premi&egrave;res leur priorit&eacute; !","Afin de réduire le volume de déchets engendré par l'activité, il s'agit de remplacer les couverts jetables par des couverts lavables.",,
Nature à coeur,14 rue de la batterie,67118,Geispolsheim,48.538706	,7.685156,dl@natureacoeur.fr,03 88 39 86 20,https://www.natureacoeur.fr/,https://www.facebook.com/Nature-%C3%A0-Coeur-1426434257576517/?fref=ts,17,"Articles originaux allant dans le sens de la vie, de l?énergie et du bien-être.",Mettre en place un jardin partagé type incroyables comestibles,,
Francis Michel Artisan Electricien,Gesang\n25 rue d'Alsace,67300,SCHILTIGHEIM,48.6070351,7.757249099999967,francis.michel3@wanadoo.fr,06 71 47 63 29,cepa.club/francismichel.html,,9,"Autonomie Energétique Photovoltaïque, Installation en Bio-Electricité","Se renseigner et communiquer sur les procédés de fabrication des matériaux et sur les aspects sociétaux des fabricants, pour le fournisseur Voltec.",,
BiObernai,33 rue Gnl Gouraud,67210,Obernai,48.460307,7.48611,maurice.meyer@alsacebio.com,,www.biobernai.com,,4,"Organisation du salon BiObernai par l&#39;association Alsace Bio et sABa. La prochaine &eacute;dition du salon de l&#39;agriculture biologique en Alsace aura lieu les 15, 16 et 17 septembre 2017.&nbsp;\n&nbsp;",Veiller à ce que les fournitures et outils de communication soient achetés en local pour 2017.,,
Gîte Les Tilleuls,Ferme Lindgrube,67220,Breitenbach,48.371494,7.307724,vlauler@yahoo.fr,06 84 45 12 62,www.lindgrube.fr/tilleuls.php,,10,"Ferme Bio ( agriculture, viande, vente directe, AMAP). Location de g&icirc;tes &agrave; Breitenbach","Afin de rééquilibrer vie professionnelle / vie privée, il s'agit de s'organiser 1 semaine de congé avec sa compagne",,
Ferme Lindgrube,Ferme Lindgrube,67220,Breitenbach,48.371531,7.307646,laulergerard@hotmail.fr,03.88.57.29.41,www.lindgrube.fr,,1,"Ferme bio : lait, yaourts, crèmes desserts, fromage blanc, bargkas, munster.",Tendre vers des autonomies fourragère et énergétique par la construction d'un système de séchage de foin en grange. ,,
Kuirado,19 route des Romains,67200,Strasbourg,48.580768	,7.723762,,06 23 57 81 12,,https://www.facebook.com/kuirado67/,18,Centre culinaire et collaboratif.&nbsp;&quot;Espace de libert&eacute; et de cr&eacute;ation culinaire&quot;,Officialiser la pratique bio,,
Simon François Psychothérapeuthe,8 Impasse de personne,67600,Selestat,48.259631	,7.451747,simonselestat@aol.com,03 88 92 88 88,,,17,"Psychothérapie (Gestalt), individuel et couple. ",Démarcher activement l'antenne locale CPG ,,
Gîte Les Cerisiers,ferme Lindgrube,67220,Breitenbach,48.371594,7.307536,laulergerard@hotmail.fr,03.88.57.29.41,www.lindgrube.fr/cerisiers.php,,10,"Ferme Bio ( agriculture, viande, vente directe, AMAP). Location de g&icirc;tes &agrave; Breitenbach",Tendre vers des autonomies fourragère et énergétique par la construction d'un système de séchage de foin en grange.,,
Restaurant L'acoustic,5 place du marché vert,67600,Selestat,48.259515	,7.455633,restobiolacoustic@gmail.com,03 88 92 29 40,www.restobiolacoustic.com,https://www.facebook.com/restobiolacoustic/,16,Ce Resto Bio &nbsp;vous accueille dans un charmant caveau vo&ucirc;t&eacute; en briques rouges. Tous les ingr&eacute;dients qui entrent dans la composition des plats pour les moins atypiques sont d&#39;origine 100% biologique.,Mettre en place la traçabilité de ses denrées et proposer 5 nouveaux professionnels pour agrandir le réseau du stück,1,
Boutique Céleste,30 Grand'rue,67000,Strasbourg,48.582469	,7.740346,celeste@boutiqueceleste.com,09 80 31 98 49,www.boutiqueceleste.com,https://www.facebook.com/celestestrasbourg,8,"Bijoux de cr&eacute;ateurs, v&ecirc;tements, accessoires , papeterie et objets de d&eacute;co.","Mettre en place un affichage/informer de la traçabilité des produits (origine, matériaux)",,
Les jardins de Gaïa,6 rue de l'écluse,67820,Wittisheim,48.267797	,7.598279,courriervpc@jardinsdegaia.com,03 88 85 88 30,www.jardinsdegaia.com,https://www.facebook.com/jardinsdegaia,2,Thés et tisanes issus de l'agriculture biologique et du commerce équitable.,Expérimenter des instance de participation de l'ensemble des salariés à la gouvernance,,
Psychanalyste - Anne Herriot,1 a rue Laurent HEYD,67380,LINGOLSHEIM,48.554457	,7.681749,,03 88 12 50 57,,,17,Psychanalyse et activités d'orientation scolaire.,Mobiliser 4 professionnels de santé et les inciter à rentrer dans le réseau,,
Cityzenbike,4 rue du faubourg de saverne,67000,Strasbourg,48.584936	,7.740825,,03 88 75 01 53,www.cityzen-bike.com/,https://www.facebook.com/pages/CityZenBike/111874732166812,19,Vente et r&eacute;paration de v&eacute;los proche de chez vous.,Afficher la provenance des produits et des marchandises façon étalage de légumes,,
Jean-Philippe GOOS,7 rue Pasteur,67113,BLAESHEIM,48.50383	,7.604402,,03 88 68 88 61,,,1,Culture d'arbres fruitiers avec des méthodes manuelles et d'agriculture raisonnée.,"Inciter les clients à venir avec leur propre panier / arrêter les sachets plastiques OU évoluer vers bout/bocal consignés, récupérés",,
Frey-Bastien Nancy Ortho-bionomy,15 rue des Vosges,67560,ROSHEIM,48.4961093,7.45970710000006,info@nancyortho.fr,06 33 25 97 70,nancyortho.fr,http://nancyortho.fr/,17,"Soins manuels doux dont la source est l'ostéopathie.\naide pour libérer le corps de ses tensions physiques, émotionnelles et énergétiques.",Parler du Stück dans le réseau des ortho bionomystes,,
Guillaume RANCHOUX,2 rue des chevaliers,67600,Selestat,48.259671	,7.455474,ranchoux.naturo@gmail.com,06 69 19 43 55,www.homegaia.fr,https://www.facebook.com/guillaume.bio/,17,"Naturopathie, somatothérapie, massages holistiques, réflexologie",Mesurer ses dépenses énergétiques,,
Day by Day,90 route du Polygone,67100,STRASBOURG,48.565826,7.759039,,03 88 41 63 35,daybyday-shop.com/vrac,https://www.facebook.com/pages/Day-By-Day/493700694148787?fref=ts,2,"Epicerie vendant des produits alimentaires, d&#39;hygi&egrave;ne et d&#39;entretien en vrac.\n\n\n\n&nbsp;",Chercher des débouchés et les mettre en pratique pour les seaux et bidons vides,1,
Krüt'herbes,68 rue de Zürich,67000,Strasbourg,48.578579,7.758956,krutherbes@gmail.com,03 88 38 87 60,www.krutherbes.fr/,https://www.facebook.com/krutherbes,16,"Restauration, traiteur, vente de produits d'épicerie et distribution des paniers AMAP",Intervention autour du juste prix.,,
Le Rutsch,9 Rue du Renard Prêchant,67000,Strasbourg,48.57922,7.757779,restaurant@le-rutsch.fr,03 88 25 20 20,le-rutsch.fr/,https://www.facebook.com/Le-Rutsch-810262925675876/timeline,16,"Cuisine de terroir et de saison, à partir de produits frais du marché. ","Trouver deux nouveaux fournisseurs bio (produits alimentaires, produits d'entretien ?) ",,
Havre de beauté,12 rue du renard prêchant,67000,Strasbourg,48.579313,7.757637,info@havredebeaute.fr,03.88.35.73.42,www.havredebeaute.fr,https://www.facebook.com/Havre-de-Beaut%C3%A9-143930155650438/?fref=ts,5,"Esthétique, bien-être, massage énergétique (médecine chinoise)","valoriser des produits locaux, ou un acteur local dans la boutique, éventuellement pour un usage professionnel.",,
Boulangerie Turlupain,ZA chemin de la Pierrechelle,67420,Saâles,48.349241	,7.121544,turlupain@orange.fr,03 88 47 76 39,www.turlupain.com,,2,Le pain bio au levain pur\nChauffage direct au bois,Participer au développement du Stück en organisant  2 rencontres informatives sur l'année.  ,,
La Table Verte,73 rue principale,67206,Mittelhausbergen,48.614536,7.694553,latableverte@orange.fr,03 88 23 02 60,www.latableverte.com,https://www.facebook.com/latableverte.strasbourg/?fref=ts,16,"Restaurant &eacute;picerie traiteur, sur place, &agrave; emporter, en livraison",Création d'un compostage sur place,,
Cordonnerie MAS,21 rue des charpentiers,67000,Strasbourg,48.583921,7.752639,cordonneriemas@orange.fr,03 88 36 98 04,,https://www.facebook.com/Cordonnerie-MAS-309368069249754/,3,"S&eacute;bastien r&eacute;nove ou patine les cuirs avec talent. Il donne une seconde jeunesse &agrave; vos sacs, vos ceintures, vos chaussures, vos semelles et vos talons !",,,
Banos Nathalie - Créatrice d'impression,53A rue de Molsheim,67280,Urmatt,48.527943,7.32049,bleulichen@gmail.com,03 88 48 01 75,www.nathaliebanos.com,https://www.facebook.com/feutreries/,3,Création d'impressions destinées à la décoration d'intérieur,Présenter le stück à la FREMAA,,
Chloé K.* - Photographe,"36, rue du soleil",67800,hoenheim,48.619009	,7.756942,chloeka@yahoo.fr,06 61 58 61 69,www.chloeka.com,https://www.facebook.com/chloekacom/,3,"Croqueuse de lumi&egrave;res, photographe d&#39;art qui travaille avec les conditions naturelles.",Evoluer vers des logiciels libres,,
RiedOasis,"14, rue de Daubensand",67230,OBENHEIM,48.360245	,7.694395,contact@riedoasis.org,03 88 98 49 32,www.riedoasis.org,https://www.facebook.com/Ferme-Riedoasis-190827220938407/?fref=ts,1,Panier paysan bio avec des fruits bio et des l&eacute;gumes bio produits en Alsace.\nPour une agriculture bio respectueuse des saisons et de la nature,"Perfectionner sa technique en permaculture et partager son expérience avec le grand public, les usagers du Stuck et le réseau des pros.",,
Kinésithérapeute Jean-Christophe SCHAAL,Cabinet de Sophie Neeff\n3a rue Matzenheim,67230,Sand,48.383529,7.614947,,03 88 58 74 78,,,17,Prise en charge manuelle dans le cadre de prescription de masso-kin&eacute;sith&eacute;rapie.,Être bureau d'adhésion mobile pour le Stück,,
Restaurant Doo' et bon,51 route de Strasbourg,67206,MITTELHAUSBERGEN,48.6065812,7.702701199999979,info@doo-et-bon.fr,07 71 87 12 91,www.doo-et-bon.fr,https://www.facebook.com/RestaurantDoo,16,"Petits plats avec des produits frais, de saison et issus des circuits courts.",Trouver une solution pour composter les déchets,,
Le Local,3 rue de l'Abreuvoir,67000,Strasbourg,48.578801,7.759832,lelocalbar@gmail.com,09 86 06 03 98,lelocalbar.fr/,www.facebook/lelocalbar,16,"Bar-Concert atypique favorisant les circuits-courts, bières locales et artisanales. ",Mise en place d'une démarche de tri sélectif. Possibilité de se mettre en lien avec le Rutsch qui se fait enlever son marc de café,,
YMCA - UCJG,8 rue du Fossé des Treize,67000,Strasbourg,48.589223,7.746862,,09 52 28 47 60,ucjgalsace.org,https://www.facebook.com/Ymca-Ucjg-Alsace-1571509006474188/,13,"Association de jeunesse : camps de vacances, Labos, journées, cycles de formation",Rédiger une charte de bonne conduite environnementale lors des camps.,,
Auberge du Moenkalb,Auberge du Moenkalb\nMoenkalb Maison Forestière,67140,Barr,48.41652134166462,7.431349754333496,auberge@moenkalb.fr,03 88 08 75 43,www.moenkalb.fr/,https://www.facebook.com/Auberge-du-Moenkalb-810828408952667/timeline,16,Petite auberge proposant de la petite restauration et brasserie à toute heure.,Ouvrir le restaurant pour deux manifestations culturelles,,
Biocoop G'Sundheit,19 rue du Sel,67600,Selestat,48.260068	,7.454834,biocoopgsundheit@orange.fr,03 88 82 10 97,www.biocoop.fr/magasins-bio/Trouver-mon-magasin-Biocoop/Alsace/Bas-Rhin/G-SUNDHEIT,,2,"Épicerie, fruits et légumes, rayon frais, pain, entretien, cosmétiques, diététique.",Mettre en valeur/promotion de produits locaux en stücks. Mise en valeur d'un produit par mois.,,
Le Bar'r,11 Rue de la Kirneck,67140,Barr,48.408051	,7.449459,lebarr67@gmail.com,09 86 08 30 30,lebarr.fr,https://www.facebook.com/lebarr67/,16,Bar proposant également petits déjeuners et petite restauration en continu.,"Tenter de faire rentrer son fournisseur de boissons - promocash - dans le réseau, ou sinon faire transiter les stücks par son intermédiaire vers les fournisseurs du réseau.",,
AtOmYoga,12 rue de Steinbourg,67200,Strasbourg,48.59868	,7.722189,admin@atomyoga.fr,06 85 84 47 45,atomyoga.fr/,https://www.facebook.com/atOmYoga.Om/,17,"Harmonisation du corps et de l&#39;esprit - Accompagnement global. Yoga, ayurveda, coaching intuitif, reiki, b&eacute;b&eacute;d-parents. &nbsp;",Etudier la possibilité de s'approvisionner en vrac pour ses produits de soin.,,
Com.O.resto,38 Rue de Zurich,67000,STRASBOURG,48.5796263,7.757671500000015,,03 88 35 45 30,www.como-resto.com/como_resto.php,https://www.facebook.com/Com-O-Resto-329698940391366/?fref=ts,16,"Petit resto de rue, pour manger dehors, à la maison, sur un banc, comme au restaurant.<br />\n ","Organisation d'un évènement trimestriel du stück dans ses locaux (réunion de collèges, stammstück, brunch, ?).",,
Association PAR ENchantement,55 rue de la Charmille,67200,Strasbourg,48.584061	,7.718321,contact@associationparenchantement.com, 03 88 12 37 78,www.associationparenchantement.com/,https://www.facebook.com/Association-PAR-ENchantement-784855551550601/,4,"Association familiale de quartier,  soutenant les initiatives des habitants.",Monter un club de troc avec les enfants du quartier,,
Freshmile,"Aéroport Strasbourg, Bâtiment Blériot",67960,Entzheim,48.536734	,7.632307,web@freshmile.com,03 88 25 70 58,www.freshmile.com,https://www.facebook.com/Freshmilecharge/,19,"Freshmile est un op&eacute;rateur de charge pour v&eacute;hicules &eacute;lectriques. Sa vocation est de simplifier la charge pour l&#39;utilisateur final, la gestion d&#39;un r&eacute;seau de borne pour le propri&eacute;taire et la maintenance pour le r&eacute;parateur.","Garantir les points Fresh des utilisateurs des bornes de recharge de la société par un placement sur un ISR (Investissement Socialement Responsable). Imprimer des protèges prises à l'aide d'imprimantes 3D, pour des écoles. ",,
Les Compagnons de Daoloth,"5,rue St-Anne",67100,Strasbourg,48.601986	,7.783522,compagnons.daoloth@free.fr,,www.compagnons-daoloth.net,https://www.facebook.com/compagnons.daoloth/?fref=ts,6,Compagnie de th&eacute;&acirc;tre,Utiliser des matériaux recyclés et/ou pour les décors des pièces de la compagnie.,,
Mulata Création,"10, rue des foulons",67000,Strasbourg,48.601986,7.783522,mulatacreatex@outlook.fr,06 62 49 24 25,,https://www.facebook.com/MulataCreatextile,3,Créations de vétements et d'accessoires à partir de matériaux de récupération,Créer une gamme de produits utilitaires durables à partir de chutes de production,,
Claire Lauffenburger (Médecin),"3, rue DORLAN",67600,Selestat,48.257913	,7.456907,,03 88 82 87 00,,,17,"Médecin, psychiatrie de l'enfant et de l'adolescent.",Donner du temps pour gérer un conflit interne en cas de besoin au sein du Stück,,
Association Le Stück,24 rue de Lunéville,67100,STRASBOURG,48.569956, 7.753353,contact@lestuck.eu,0650323377,www.lestuck.eu,https://www.facebook.com/lestuckstrasbourg,4,L'association Le Stück gère la monnaie locale du même nom.\nPas une hésitation : rejoignez-nous !,,1,
Rinaldi Sonia Gravure,6 chemin des seigneurs,67140,Gertwiller,48.412511	,7.462383,sonia.rinaldi@yahoo.fr,06 02 31 95 53,rinaldigravure.blogspot.fr,,3,Gravure sur pierre et &eacute;maillage sur lave.,"Elaborer une communication sur la durabilité des panneaux signalétiques en pierre (sentiers, monuments, panorama) et démarcher les collectivités.",,
Block'Out,4 Rue Alexandre Dumas,67200,Strasbourg,48.59039	,7.698795,strasbourg@blockout.fr,03 90 23 06 91,www.blockout.fr/bo-strasbourg/,https://www.facebook.com/BlockOutStrasbourg,13,"Salle d&#39;escalade:&nbsp;800 m&sup2; de bloc,&nbsp;restaurant type brasserie,&nbsp;musculation,&nbsp;sauna et hammam,&nbsp;&eacute;v&eacute;nementiel.",Organiser une journée porte ouverte pour les enfants du quartier Hautepierre.,,
Le Bien-être à Strasbourg,4A rue des roses,67100,Strasbourg,48.568761	,7.759983,contact@lebienetreastrasbourg.com,06 59 35 33 25,www.lebienetreastrasbourg.com/, https://www.facebook.com/rebeccametzger.lebienetreastrasbourg/,5,Réflexologie plantaire et massages aux huiles naturelles sur table de massage. Amma assis sur chaise ergonomique. Particuliers et entreprises,Inciter trois professionnels à adhérer au stück,,
Le Moulin,"44, route de Reichshoffen",67110,Niederbronn-les-Bains,48.941399	,7.651693,marianne.mellon@gmail.com ,03 88 09 00 37,gite.moulin.free.fr/,,10,Chambres d'hôtes dans un moulin du 18ème rénové écologiquement.,Mettre en avant la dimension écologique de son projet pour sensibiliser ses clients,,
Studio-Bis,"20, boulevard du Président Poincarré",67000,Strasbourg,48.59022	,7.742811,contact@studio-bis.fr,07 81 38 51 48 ,studio-bis.fr/,www.facebook.com/Studio-bis,5,"Pilates, au sol et sur appareils, massages Pressel\n\n ",Trouver des huiles plus proches,,
Chez Veg'Anne,17 rue du Mittenbach,67280,OBERHASLACH,48.547846	,7.317169,bienvenue@veganne.fr,06 50 60 56 30 ,www.veganne.fr/,facebook.com/chezveganne/,16,Good-truck et Traiteur 100% v&eacute;g&eacute;tal et majoritairement biologique,Se mettre en lien avec une association pour trouver des débouchés pour ses restes alimentaires (quand il y en a !),,
Néarmony,4 rue de vendenheim,67800,Hoenheim,48.62725	,7.751439,bernard.jacquin6@gmail.com,06 79 32 93 32,www.nearmony.com,www.facebook.com/nearmony/,5,"Massage Bien-&ecirc;tre, Reiki, Shiatsu. Ou comment retrouver d&eacute;tente et s&eacute;r&eacute;nit&eacute;.&nbsp;\n\n\n&nbsp;",Adopter des lessives biologiques ou maison.,,
Brasserie BAT,"2, rue de l'étang",67440,LOCHWILLER,48.69618	,7.416988,contact@brasseriebat.fr,06 81 68 91 10,,,2,Production de bi&egrave;res artisanales,Introduction du stück au bonheur est dans le pré,,
Fernex Sébastien Artiste sculpteur,Maison forestière du Landsberg,67530,ST NABOR,48.428391822577176,7.420749664306641,sebfernex@gmail.com,06 52 46 77 98,www.sebastienfernex.fr,,3,"Cr&eacute;ation de sculptures en pierre et en bois\nCours de sculptures sur pierre (gr&eacute;) et bois, &agrave; la Maison foresti&egrave;re du Landsberg (St Nabor)",Se fournir en gré dans un affleurement à proximité plutôt que d'aller dans le nord de l'Alsace,,
Sophie Messer - Etiopathe,10 Rue des Hallebardes,67000,Strasbourg,48.581907	,7.749155,sophiemesser88@gmail.com,06 31 82 10 53,www.etiopathes-est.fr/,,17,Étiopathie : thérapie manuelle traitant les causes et non les symptômes. ,Faire découvrir l'Etiopathie au grand public gratuitement lors d'une manifestation du Stück,,
Magellan Communication,20 boulevard du Président Poincaré,67200,Strasbourg,48.59022	,7.742811,sbrillais@magellan-communication.fr,06 83 34 53 12,www.magellan-communication.fr/,https://www.facebook.com/Magellan-Communication-583583965144882/,18,"Réalisation de films, vidéos et photographies ; pour le monde de l'entreprise, les associations, les collectivités etc ...",Assurer la réalisation vidéo pour un projet du Stück,,
Coopérative Essenciel,2 rue Otto Back,67200,Strasbourg,48.58602	,7.692053,alsacespirulinesolidaire@gmail.com,09 54 19 68 49,huilerit.essenciel.free.fr/benvenue-a-la-ferme-de-spiruline-de-la-scic-essenciel.html,,2,Spiruline solidaire ou locale en partenariat avec des associations humanitaires,Accoitre la visibilité sur  l'origine des produits et sur la démarche solidaire,,
Bistrot et Chocolat,8 Rue de la Râpe,67000,Strasbourg,48.581481	,7.752988,contact@bistrotetchocolat.net,03 88 36 39 60,www.bistrotetchocolat.net/,https://www.facebook.com/BistrotetChocolat,16,"Entre restaurant et de salon de thé, brunchs les week-ends. Tout est réalisé avec des produits frais et authentiques !","être plus précis et transparent sur les « achats responsables » notamment sur les labels (bio, équitable?) et sur la provenance locale des produits",,
La Villa Meteor,6 rue du général Lebocq,67270,Hochfelden,48.757146,7.567741,villa@brasserie-meteor.fr,03 88 02 22 44,www.brasserie-meteor.fr/fr/villa-meteor,https://www.facebook.com/brasserie.meteor/?fref=ts,13,Expérience ludique autour de la fabrication de la bière et l?histoire de METEOR.,Mettre en place un partenariat avec une association pour accueillir régulièrement des groupes de jeunes ZUS gratuitement pour faire visiter la villa.,,
Métal-Archi MÉTALLERIE,6 rue Sébastien Brant,67880,INNENHEIM,48.4983,7.575116,metalarchi.info@gmx.com,03 88 87 29 78,,https://www.facebook.com/chris.metal.archi/?fref=ts,3,"Garde-corps, portail, escalier (avec visualisation du projet en 3D)\nFours à tartes flambées\nCréations artistiques\n ",Tester l'utilisation de linux pour des logiciels de conception assistée par ordinateur et communiquer sur son expérimentation ,,
Anticipation Chapiteaux,3 Rue Simmesberg,67290,WINGEN SUR MODER,48.9243824,7.36991880000005,anticipationchapiteaux@hotmail.fr,06 63 55 62 61,anticipation-chapiteaux.fr,https://www.facebook.com/AnticipationChapiteaux/?fref=ts,18,Vente et location de chapiteaux et bâches\nImpression numérique grands formats,Ouvrir un compte dans une banque solidaire,,
Domaine Charles MULLER et Fils,43 impasse de la fontaine,67310,TRAENHEIM,48.594300,7.461100,earlmullercharles@hotmail.fr,03 88 50 38 04,www.alsacemuller.fr,,1,"Vigneron depuis 1580, domaine familial, en bio depuis 1998","Mettre des animaux (moutons, oies) pour désherber les vignes et laisser le tracteur au hangar.",,
Pharmacie de Meistratzheim,236 rue principale,67210,MEISTRATZHEIM,48.448021	,7.543089,,03 88 95 31 88,pharmacie.caducine.fr/340331-pharmacie-de-meistratzheim,,17,Vente de produits pharmaceutiques,Organiser le tri des déchets de la pharmacie,,
Association L'Art Change,7 rue Haute,67190,Dinsheim Sur Bruche,48.543422,7.434014,contact@artchange.fr,06 80 13 28 69,https://www.artchange.fr/,https://www.facebook.com/artchangebernardeteli,6,Ecole de Danse pluridisciplinaire et compagnie de danse professionnelle,Accueillir des stands d?info stück et communiquer auprès des adhérents de l?association.,,
Elisabeth Wolf - Kinésiologue,25 boulevard du président Wilson,67000,Strasbourg,48.589531	,7.740122,elisabethwolf.kpn@gmail.com,06 77 76 20 93,www.kinesiologieperinatale.com,,17,"Kinésiologie favorisant un état d'équilibre et de bien être physique, mental et social; s'adressant à tout public: du nouveau né à l'adulte, l'écolier ou le sportif, la femme enceinte...",Se renseigner sur les pratiques de sa banque et éventuellement en changer.,,
La Java de Lili,6 rue du Marteau,67600,Selestat,48.258683	,7.455497,lajavadelili@gmail.com,03 88 74 45 03,,https://www.facebook.com/lajavadelili/?fref=ts,21,"Bijoux, accessoires de créateurs, vêtements, meubles d'appoints.",Ajouter des fournisseurs locaux,,
Boutique Oxfam,5-7 Rue de la Division Leclerc,67000,STRASBOURG,48.580448,7.747317,laboutiquestrasbourg@oxfamfrance.org,03 88 10 81 23,www.oxfamfrance.org/,https://www.facebook.com/OxfamLaBoutiqueStrasbourg/,15,"Une autre façon d'acheter livres, CD, DVD, vêtements, objets pour la maison ; en alliant plaisir de l'achat à portée de toutes les bourses et action solidaire.",Formation des bénévoles du stück sur la prochaine campagne d'Oxfam,,
BIOGourmands,100 rue du Général Gouraud,67210,OBERNAI,48.462486229854946,7.480722516775131,info@biogourmands.bio,03 88 95 01 68,www.biogourmands.info/,http://www.facebook.com/biogourmands,2,"Restaurant, traiteur et salon de thé 100% bio à Obernai. Dégustation sur place et commande de plats à emporter (déjeuner et dîner). Pains et viennoiseries bio.",Développer leur approvisionnement local,,
Théâtre Jeune Public,1 rue du Pont Saint Martin,67000,STRASBOURG,48.580558,7.743396,reservation@tjp-strasbourg.com,03 90 23 68 68,www.tjp-strasbourg.com/,https://www.facebook.com/tjpcdnalsace/,6,"Production et diffusion de spectacles, arts de la marionnette, ateliers de pratique.",Mettre à disposition de l'association une salle de réunion pour ses besoins propres 3 fois par an. Communiquer sur le Stück auprès des fournisseurs et clients,,
Brasserie la Narcose,88 rue principale,67310,SCHARRACHBERGHEIM IRMSTETT,48.592553,7.496916,brasserielanarcose@outlook.fr,0783937053,,https://www.facebook.com/Brasserie-La-Narcose-434454743428704/?fref=ts,1,Production de bi&egrave;res artisanales et biologiques.,Concevoir un plan de rénovation des futurs locaux de manière écologique,,
Marius GRIMAUD,7 rue de la Rheinmatt,67100,STRASBOURG,48.556393,7.758768,marius.pro@grimaud.me,09 50 16 77 22,https://grimaud.me/marius/soutien-scolaire-strasbourg,https://grimaud.me/marius/soutien-scolaire-strasbourg,7,"Cours particuliers en informatique, chant, solfège, piano, soutien scolaire",Appuyer le stück sur des actions d?éducation populaire destinées au jeune public,,
A la bonne épice,3 place du marché vert,67600,SELESTAT,48.259515,7.455503,philippegeorge@aol.com,03 88 92 21 87,,https://www.facebook.com/ALaBonneEpice/?fref=ts,2,Epicerie fine bio et en vrac,Présenter le stück à l?association des commerçants de Selestat,,
Institut Effledy Russ,3 rue des Genêts,67130,RUSS,48.49386399999999,7.261471799999981,contact@effledy.fr,06 24 88 49 41,effledy.fr,effledy.fr,5,Espace de beaut&eacute; et de bien-&ecirc;tre : soins bio visage et corps ; modelages et rituels de bien-&ecirc;tre ; relaxation sensorielle...&nbsp;Sur rendez-vous &agrave; Russ et &agrave; Rosheim,Présenter le stück au réseau Proval (association des professionnels de la Vallée de la Bruche),,
Institut Effledy Rosheim,108 rue Général De Gaulle,67560,ROSHEIM,48.496381,7.470909399999982,contact@effledy.fr,06 24 88 49 41,effledy.fr,http://www.effledy.fr/,5,Espace de beaut&eacute; et de bien-&ecirc;tre : soins bio visage et corps ; modelages et rituels de bien-&ecirc;tre ; relaxation sensorielle...&nbsp;Sur rendez-vous &agrave; Russ et &agrave; Rosheim\nSur rendez-vous &agrave; Russ et &agrave; Rosheim,Présenter le stück au réseau Proval (association des professionnels de la Vallée de la Bruche),,
SPACS,Université de Strasbourg\nService pour la Promotion de l'ACtion Sociale\n43 rue Goethe,67000,STRASBOURG,48.584219,7.767646,spacs@unistra.fr,03 68 85 20 00,spacs.unistra.fr/,,4,Service pour la Promotion de l&#39;ACtion Sociale (SPACS) de l&#39;Universit&eacute; de Strasbourg,,1,
Neeff Sophie,3 rue de Matzenheim,67230,SAND,48.3832775,7.615280100000064,sophieneeff@free.fr,03 88 58 74 78,,,17,"Kin&eacute;sith&eacute;rapeute, massage chinois, aromath&eacute;rapie et &eacute;lixirs floraux.",Transférer ses actifs financiers vers de la finance responsable.,,
Loca dévore Food truck,66 rue du Leyde,67130,WILDERSBACH,48.577418,7.763875,contact@locadevore.com,0770379360,https://www.locadevore.com/,https://www.facebook.com/locadevore/?fref=ts,16,Restauration mobile locavore et en grande partie bio,Présenter le stück au drive fermier de Schirmeck,,
Nature et vie,90 rue de la vallée St Ulrich,67140,BARR,48.40545,7.426216,natureetvie@gmail.com,03 68 05 34 38,www.nature-et-vie.org/,,4,Association pour la protection de la nature et la qualité de notre cadre de vie,,,
Vodata,8 rue du Bellay,67200,Strasbourg,48.5976904,7.6967687999999725,contact@vodata.fr,07 81 71 48 17,www.vodata.fr,,12,"Récupération de données des professionnels, spécialiste RAID et serveurs.",Aider l'association Le Stück à sécuriser ses données informatiques.,,
Diskcard,8 rue du Bellay,67200,Strasbourg,48.5976905,7.6967687999999726,contact@diskcard.fr,07 81 71 48 17,diskcard.fr,,12,"Récupération de données des particuliers, spécialiste RAID et serveurs.",Aider l'association Le Stück à sécuriser ses données informatiques.,,
Atelier boutique Cerise & Coquelicot,9 rue de l?église,67680,EPFIG,48.35939,7.464242,contact@cerisecoquelicot.com,06 31 74 17 42,www.cerisecoquelicot.com/,cerise.coquelicot.1,13,"Ateliers cr&eacute;atifs (adultes et enfants), go&ucirc;ters d&rsquo;anniversaire et &eacute;v&eacute;nements\nVente d&rsquo;articles artisanaux de d&eacute;coration et accessoires de mode",,,
Le mandala,rue du faubourg de saverne,67000,STRASBOURG,48.585448,7.740433,contact@mandala-strasbourg.fr,,www.mandala-strasbourg.fr/,https://www.facebook.com/mandala.strasbourg/,16,Plats qui mêlent saveurs vietnamiennes et traditions culinaires françaises.,Structurer des liens entre les commerçants du Faubourg de Saverne,,
